ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
4345,Lightly candied banana or plantain sweets.,dxinyadebidwaa,EJG;RLC,,,,,,,,,,food,Dulce de plátano.
4346,Lightly candied bisnaga (barrel cactus).,dxinyadebidxi,,,,,,,,,,,food,Dulce de biznaga.
4347,Lightly candied plum sweets.,dxinyadebyadxi,EJG;JLC;RLC,,,,,,,,,,food,Dulce de ciruelo.
4348,Lightly candied peach sweets.,dxinyadedurasnu,,,,,de,,,,,,food,Dulce de durazno.
4349,Lightly candied sweets made with a small hard-skinned squash.,dxinyadegituchuga,,,,,,,,,,,food,Dulce hecho con una calabaza pequeña de cáscara dura.
4350,Lightly candied gourd sweets.,dxinyadegituzhembe7,,,,,,,,,,,food,Dulce de chilacayote.
4351,Lightly candied sweet potato sweets.,dxinyadegu,,,,,,,,,,,food,Dulce de camote.
4352,Lightly candied coconut sweets.,dxinyadekoko,,,,,de,,,,,,food,Dulce de coco.
4353,Lightly candied mango sweets.,dxinyademangu,JLC;RLC,,,,de,,,,,,food,Dulce de mango.
4354,Lightly candied apple sweets.,dxinyademansanabayistu,EJG;JLC;RLC,,,,de,,,,,,food,Dulce de manzana.
4355,Lightly candied sweets made with the fruit of the tree identified as Malpighia mexicana.,dxinyademansanita,,,,,de,,,,,,food,Dulce de tejocote.
4356,Dessert made with buns.,dxinyadepan,JLC,,,,de,,,,,,food,Dulce de pan bollo.
4357,Lightly candied papaya sweets.,dxinyadepapaya,,,,,de,,,,,,food,Dulce de papaya.
4358,Lightly candied pear sweets.,dxinyadepera,,,,,de,,,,,,food,Dulce de pera.
4359,Lightly candied cherry sweets.,dxinyabeyu7,,,,,,,,,,,food,Dulce de cereza.
4360,Honey.,dxinyabizu,,,,,,,,,,,food,Miel.
4361,Lightly candied pumpkin sweets.,dxinyadegitu,RLC,,,,de,,,,,,food,Dulce de calabaza.
4362,Sweets made with fried pieces of dough brought together into a ball with syrup made from unrefined brown sugar.,dxinyanueganu,,,,,muégano,,,,,,food,Muégano.
4363,Candy.,dxinyawiini,,,,,,,,,,,food,"Caramelo, dulcesito."
