ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
912,"To go on top of something, to climb on something.",gi7ba,,,gu-dx.i7ba,ni-g.i!7ba,,,ri-g.i7ba,,k.iba!7 (I),,change of state,"Subir, trepar, montar."
913,To ride a horse.,gi7bamani7,,,gu-dx.i7ba # mani!7,,,,ri-g.i7ba # mani!7,,k.iba!7 # mani!7,,actions,Montar a caballo.
914,"To get the chills, to shudder.",gi7batinanda,,,gu-dx.i7ba ti+ n.anda,,,,ri-g.i7ba ti+ n.anda,,k.iba!7 ti+ n.anda,,actions,Tener escalofríos.
915,For seed to be sown.,gi7babiidxi,RLC,,gu-dx.i7ba=biidxi,,,,ri-g.i7ba=biidxi,,k.iba!7=biidxi,,cultivation,Sembrarse.
916,"For prices to go up, especially in relation to staples such as beans and sugar.",gi7balu,,,gu-dx.i7ba=lu,,,,ri-g.i7ba=lu,,k.iba!7=lu,,commerce,"Subir de precio, sobre todo con relación a productos de primera necesidad como el frijol y el azúcar."
917,"For prices to go up, especially in relation to goods and services that tend to be costly to begin with.",gi7basaka,JLC;RGL;RLC,,gu-dx.i7ba=saka,,,,ri-g.i7ba=saka,,k.iba!7=saka,,commerce,"Subir de precio, sobre todo con relación a productos o servicios que suelen ser costosos."
918,"To sew, to stitch, to mend, to embroider.",giba,,,gu-d.iba*,,,,ri-g.iba*,,k.i*ba* (I),,actions,"Coser, costurar, remendar, bordar."
919,To sift.,gibi,,,gu-dx.ibi,,,,ri-g.ibi,,k.i*bi (I); ~ k.i!bi,,actions,"Cernir, tamizar."
920,To flap the wings.,gibixxyaa,RLC,,gu-dx.ibi # x.xyaa*,,,,ri-g.ibi # x.xyaa*,,k.i!bi # x.xyaa*,,motion,Aletear.
921,To blink.,gibilaga,,,gu-dx.ibi=laga,,,,ri-g.ibi=laga,,k.i!bi=laga,,actions,Parpadear.
922,"To make something burst or pop. By extension, to cause ejaculation.",giche,,,gu-d.iche,,,,ri-g.iche,,k.iche!7 (I),,actions,"Hacerlo reventar, hacerlo tronar. Por extensión, hacerlo eyacular."
923,"To make chicks hatch by way of brooding. By extension, to have an extended conversation.",gicheberewiini,,,gu-d.iche # bere wiini,,,,ri-g.iche # bere wiini,,k.iche!7 # bere wiini,,actions,"Hacer eclosionar a los pollitos empollándolos. Por extensión, platicar largo y tendido."
924,To shell beans.,gichebizaari7ni,,,gu-d.iche # bi-zaa ri7ni,,,,ri-g.iche # bi-zaa ri7ni,,k.iche!7 # bi-zaa ri7ni,,processes,Desvainar los ejotes o el frijol.
925,To produce lice.,gichebiichi,,,gu-d.iche # biichi*,,,,ri-g.iche # biichi*,,k.iche!7 # biichi*,,actions,Producir piojos.
926,To sprout.,gichebiitu,,,,,,,ri-g.iche # biitu*,,,,actions,"Brotar, retoñar, sacar botón, dicho de las plantas."
927,To shoot a firearm.,gichegeebegi,,,,,,,ri-g.iche # geebe gi,,,,actions,Disparar un arma de fuego.
928,To set off fireworks.,gichegeeregi,RLC,,gu-d.iche # geere=gi,,,,ri-g.iche # geere=gi,,k.iche!7 # geere=gi,,actions,Tronar cohetes.
929,To make one's mouth water.,gichenisarwaa,,,gu-d.iche # nisa rwaa,,,,ri-g.iche # nisa rwaa,,k.iche!7 # nisa rwaa,,actions,Hacerse agua la boca.
930,"To tsk in disapproval, to grumble in protest.",gicherwaa,EJG;JLC;RGL,,gu-d.iche # rwaa,,,,ri-g.iche # rwaa,,k.iche!7 # rwaa,,actions,"Tronar la boca, rezongar, refunfuñar, repelar."
931,For the sun to shine intensely.,gichextuxugubidxa,,,,,,,ri-g.iche # x.tuxu,,,,phenomena,Resplandecer el sol intensamente.
932,To make chewing gum pop.,gicheyaalla,,,gu-d.iche # yaalla*,,,,ri-g.iche # yaalla*,,k.iche!7 # yaalla*,,actions,Tronar chicle.
933,To crack one's bones.,gicheyuuba,,,gu-d.iche # yuuba,,,,ri-g.iche # yuuba,,k.iche!7 # yuuba,,actions,Hacer tronar los huesos del cuerpo.
934,"To crack, in the sense of to break.",giche-2,,,gu-d.iche*,,,,ri-g.iche*,,k.i*che* (I),,actions,"Tronar en el sentido de quebrar, partir o tronchar."
935,To measure.,gichebya7,,,gu-d.iche=bya7,,,,ri-g.iche=bya7,,k.iche!7=bya7,,measure and quantity,Medir.
936,To crack one's fingers.,gichekwinina7,,,gu-d.iche=kwini=na*7,,,,ri-g.iche=kwini=na*7,,k.iche!7=kwini=na*7,,actions,Tronarse los dedos de la mano.
937,To crack one's toes.,gichekwininyee,RLC,,gu-d.iche # bi-kwini=nyee,,,,ri-g.iche # bi-kwini=nyee,,k.iche!7 # kwini=nyee,,actions,Tronarse los dedos del pie.
938,To snap one's fingers.,gichena7,,,,,,,ri-giche=na*7,,,,actions,Chasquear los dedos.
939,To squash to the point of bursting the contents out of a soft container such as a fruit.,gichexki7,RLC,,gu-d.iche=x.ki7,,,,ri-g.iche=x.ki7,,k.iche!7 (I),,actions,"Despanzurrarlo, destriparlo."
940,To kneel down.,gichezhibi,,,gu-d.iche=zhi^bi,,,,ri-g.iche=zhibi,,k.iche!7=zhibi,,position,"Arrodillarse, hincarse."
941,"To sprout. By extension, for a skin rash to spread.",gichezhiinyi,RLC,,gu-d.iche=zhiinyi,,,,ri-g.iche=zhiinyi,,k.iche!7=zhiinyi (I),,change of state,"Brotar, retoñar, sacar botón, dicho de las plantas. Por extensión, reproducirse una erupción de la piel."
942,"To wash. By extension, to clean someone out.",giibi,,,gu-d.iibi,,,,ri-g.iibi,,k.i!7bi,,actions,"Lavarlo. Por extensión, desvalijarlo."
943,To rinse dry corn kernels with water and lime.,giibizhuba7,,,gu-d.iibi # zhuba!7,,,,ri-g.iibi # zhuba!7,,k.i!7bi # zhuba!7,,processes,Lavar el maíz con agua de cal.
944,"To be squeezed, to be tightened, to be compressed.",giichi,,,bi-g.iichi,,,,ri-g.iichi,,gi-g.i!ichi (),,change of state,"Apretarse, prensarse."
945,"To pierce, to bore, to drill.",giide,JLC;RLC,,gu-dx.iide*,,,,ri-g.iide*,,k.ii*de* (I),,actions,"Agujerear, horadar, perforar, taladrar."
946,To hug.,giidxi,,,gu-d.iidxi*,,,,ri-g.iidxi*,,k.ii*dxi* (I),,actions,Abrazar.
947,To cross one's arms.,giidxina7,,,gu-d.iidxi*=na*7,,,,ri-g.iidxi*=na*7,,k.ii*dxi*=na*7,,actions,Cruzarse de brazos.
948,"To borrow, especially as referred to money.",giinye,EJG;RLC,,gu-d.iinye,,,,ri-g.iinye,,k.i!7nye (I),,actions,"Pedir prestado, dicho sobre todo del dinero."
949,"To share out, to distribute.",giize,JLC;RLC,,gu-d.iize; ~ gu-d.iizi,,,,ri-g.iize; ~ ri-giizi,,k.i!7ze (I); ~ ki!7zi,ka-gi!ize,actions,Repartir.
950,To fart.,ginde,,,gu-d.inde,,,,ri-g.inde,,k.i*nde; (I),ka-g.i*nde,actions,"Pedorrearse, echar pedos."
951,"To hit, to beat. By extension, to defeat.",ginye,,,gu-d.inye*,,,,ri-g.inye*,,k.i*nye*,,actions,"Golpearlo. Por extensión, derrotarlo, ganarle."
952,"To trick, to fool, to deceive (lit. to stick one under the fence).",ginyezhale7,,,gu-d.inye* # zha+ le7,,,,ri-g.inye* # zha+ le7,,k.i*nye* # zha+ le7,,actions,Engañarlo (lit. meterle una por debajo de la cerca).
953,To blink (lit. to strike with the eyelid).,ginyelaga,RLC,,gu-d.inye*=la^ga,,,,ri-g.inye*=la^ga,,,,actions,Parpadear (lit. golpear con el párpado).
954,"To knock on the door, to play an instrument by striking strings (lit. to strike with the hand). By extension, to warn.",ginyena7,,,gu-d.inye*=na*7,,,,ri-g.inye*=na*7,,k.i*nye*=na*7,,actions,"Tocar la puerta, tocar la guitarra o algún otro instrumento rasgando las cuerdas (lit. golpear con la mano). Por extensión, poner sobre aviso."
955,To bring down or knock down with a blow.,ginyentaa,RGL,,gu-d.inye*=ntaa,,,,ri-g.inye*=nta^a,,k.i*nye*=ntaa,,actions,"Tirarlo de golpe, tumbarlo o azotarlo estrepitosamente."
956,To kick as a way to call attention or in a playful or squirming way.,ginyenyee,,,gu-d.inye*=nyee,,,,ri-g.inye*=nyee,,k.i*nye*=nyee,,actions,"Pegar con el pie, patear, patalear."
957,"To put down, to treat with disdain (lit. to strike with dirt).",ginyeyu,,,gu-d.inye*=yu,,,,ri-g.inye*=yu,,k.i*nye*=yu,,actions,"Despreciarlo, menospreciarlo, criticarlo (lit. golpearlo con tierra)."
958,To hit someone as if that person were one's own child.,ginyezhiinyi,,,gu-d.inye*=zhiinyi,,,,ri-g.inye*=zhiinyi,,k.i*nye*=zhiinyi,,actions,Golpearlo como si fuera su hijo.
959,"To pinch. To peck, in reference to birds.",giru,,,gu-dx.iru,,,,ri-g.iru,,k.i*ru (I),,actions,"Pellizcar. Picotear, dicho de los pájaros."
960,To pull someone's ears.,girudyaga,ND;RLC,,gu-dx.iru # dyaga,,,,ri-g.iru # dyaga,,k.i*ru # dyaga,,actions,Jalar las orejas.
961,To play.,gite,,,gu-dx.ite,,,,ri-g.ite,,k.ite!7 (I),,actions,Jugar.
962,"To mislead, to manipulate.",giteike,JLC;RLC,,gu-dx.ite # ike,,,,ri-g.ite # ike,,k.ite!7 # ike,,actions,"Engañar, manipular."
963,To take things as a game.,giteuzulu,,,,,,,ri-gite ri-zu-lu,,,,cognition,Tomar las cosas como un juego.
964,To waste money.,gitebweltu,,,gu-dx.ite bwe*ltu,,vuelto,,ri-g.ite bwe*ltu,,k.ite!7 bwe*ltu (I),,actions,Malgastar dinero.
965,"To race, to participate in a race.",gitekarrera,,,,,carrera,,,,,,actions,Participar en una carrera.
966,"To lay down. By extension, to put down in writing, to compose a musical piece.",gixe,,,gu-d.ixe,,,za-g.ixe,ri-g.ixe,,k.ixe!7 (I),,actions,"Poner, colocar, acostar. Por extensión, poner por escrito, componer una obra musical o literaria."
967,"To set a date, as for an event or commitment.",gixedxi,,,gu-d.ixe # dxi,,,,ri-g.ixe # dxi,,k.ixe!7 # dxi,,time,"Poner el día, seleccionar una fecha (ex. para algún evento o compromiso)."
968,"To take a look, to glance at, to check out.",gixelu,JLC;RLC,,,,,,ri-g.ixe lu,,,,actions,"Echar un vistazo, echar un ojo, dar una hojeada."
969,To pawn one's property in exchange for a loan.,gixexti7,,,gu-d.ixe # x.ti*7,,,,ri-g.ixe # x.ti*7,,k.ixe!7 # x.ti*7,,actions,Empeñar algo propio a cambio de un préstamo de dinero.
970,"To lay down properly, to fix up, to straighten out. By extension, to put down in writing, to compose a musical piece.",gixechaawi,,,gu-d.ixe=chaawi,,,,ri-g.ixe=chaawi,,k.ixe!7=chaawi,,actions,"Poner, colocar o acostar correctamente, arreglar. Por extensión, poner por escrito, componer una obra musical o literaria."
971,To take a loan based on pawning one's property.,gixediinye,EJG;ND;RLC,,,,,,ri-g.ixe=diinye,,,,actions,Tomar un préstamo de dinero a cambio de empeñar algo propio.
972,To calm something down.,gixedxi-2,,,gu-d.ixe=dxi*,,,,ri-g.ixe=dxi*,,k.ixe!7=dxi*,,actions,Poner en calma.
973,"To set on fire, to burn.",gixegi,,,gu-d.ixe=gi,,,,ri-g.ixe=gi,,k.ixe!7=gi,,actions,"Echarle lumbre, quemar, incendiar."
974,"To lay the head down to rest on something. By extension, to think about someone or something, to have something in mind.",gixeike,,,gu-d.ixe=ike,,,,ri-g.ixe=ike,,k.ixe!7=ike,,actions,"Recostar o descansar la cabeza sobre algo. Por extensión, pensar en algo o en alguien, tener en mente."
975,To lay something sideways or leaning.,gixekwe7,,,gu-d.ixe=kwe7,,,,ri-g.ixe=kwe7,,k.ixe!7=kwe7,,actions,"Ponerlo de lado, inclinarlo."
976,"To put someone on notice, to warn.",gixena,EJG;JLC;RLC,,gu-d.ixe=na,,,,ri-g.ixe=na,,k.ixe!7=na,,actions,"Ponerle sobre aviso, avisarle, advertirle."
977,"To lay something face down, to place upside down, to invert.",gixerilu,,,gu-d.ixe ri+ lu,,,,ri-g.ixe ri+ lu,,k.ixe!7 ri+ lu (I),,actions,"Acostarlo boca abajo, invertirlo, voltearlo."
978,To lay something face up or right side up.,gixesa,,,gu-d.ixe=sa,,,,ri-g.ixe=sa,,k.ixe!7=sa,,actions,Acostarlo o ponerlo boca arriba.
979,"To lay the foundation of something, to found, to establish.",gixexti,,,gu-d.ixe=x.ti,,,za-g.ixe=x.ti,ri-g.ixe=x.ti,,k.ixe!7=x.ti,,actions,"Iniciar, fundar, organizar."
980,To pay.,gizhe,,,gu-d.izhe,,,,ri-g.izhe,,k.i*zhe,,actions,Pagarlo.
981,To pay in installments.,gizhechaawiga,,,gu-d.izhe # chaawi ga,,,,ri-gizhe # chaawi ga,,k.i*zhe # chaawi ga,,actions,Pagar en abonos.
982,"To pull, to attract, to suck in.",gu7ba,,,gu-d.u7ba,,,za-g.u7ba,ri-g.u7ba,,k.uba!7 (I),,actions,"Jalar, atraer, chupar."
983,"To breath, to inhale, to pull in air, to vacuum air out.",gu7babi,EJG,,gu-d.u7ba # bi,,,za-g.u7ba # bi,ri-g.u7ba # bi,,k.uba!7 # bi,,actions,"Respirar, inhalar, jalar aire, aspirar."
984,"To smoke, ex. cigarettes.",gu7bageza,,,gu-d.u7ba # geza,,,za-g.u7ba # geza,ri-g.u7ba # geza,,k.uba!7 # geza,,actions,Fumar.
985,"To pull or drag grass. By analogy, this verb is also used to refer to smoking marihuana.",gu7bagizhi,,,gu-d.u7ba # gizhi,,,,ri-g.u7ba # gizhi,,k.uba!7 # gizhi,,actions,"Jalar o acarrear zacate. Por analogía, este verbo también se refiere a la acción de fumar marihuana."
986,To pull on the horse by the reins.,gu7barwaa,EJG;RLC,,gu-d.u7ba # rwaa,,,,ri-g.u7ba # rwaa,,k.uba!7 # rwaa,,actions,Jalar al caballo de las riendas.
987,To urge the cattle on.,gu7bayuze,,,gu-d.u7ba # yu*ze*,,,,ri-g.u7ba,,k.uba!7 # yu*ze*,,actions,Arrear al ganado.
988,"Lit. 'to pull in the hand' to say that financial support is pulled away from someone, or that money is being pulled in to save it.",gu7bana7,,,gu-d.u7ba=na*7,,,za-g.u7ba=na*7,ri-g.u7ba=na*7,,k.uba!7=na*7,,actions,"Lit. 'retirar la mano', a manera de expresar que se retira un apoyo económico o que se retrae un dinero para ahorrarlo."
989,To suck one's belly in.,gu7bandaani,EJG;JLC;ND;RGL;RLC,,,ni-g.u!7ba=ndaani,,,ri-g.u7ba=ndaani,,,,actions,Meter la panza.
990,"To step back after making a decision, a promise, or a misstep (lit. to pull one's foot back).",gu7banyee,,,gu-d.u7ba=nyee,,,za-g.u7ba=nyee,ri-g.u7ba=nyee,,k.uba!7=nyee,,change of state,"Retroceder después de haber tomado una decisión, haber hecho una promesa, o haber dado un mal paso (lit. retirar el pie)."
991,Lit. 'to suck one's mouth in' to say that a person thinks things through before saying them.,gu7barwaa-2,,,gu-d.u7ba=rwaa,,,,ri-g.u7ba=rwaa,,k.uba!7=rwaa,,character attributes,Lit. 'jalar la boca (para adentro)' a manera de decir que una persona se piensa las cosas antes de decirlas.
992,To drag on the floor.,gu7bayu,,,gu-d.u7ba=yu,,,,ri-g.u7ba=yu,,k.u!7ba=yu,ka-g.u!7ba yu,actions,Jalar por el piso.
993,To sniff (lit. to pull in the nose).,gu7bazhii,,,gu-d.u7ba zhii,,,,ri-g.u7ba=zhii,,k.uba!7=zhii,ka-g.u!7ba zhii,senses,"Olfatear, husmear (lit. retraer la nariz)."
994,"To enter, to put (in)side, to insert.",guu,,,gu-l.uu,,,za-g.uu,ri-g.uu,,k.u!7 (I),ka-g.u!u,actions,"Meter, insertar, introducir, ingresar."
995,"To illuminate, to install electricity and lighting.",guubyaani,,,gu-l.uu # b.y.aani,,,,ri-g.uu # b.y.aani,,k.u!7 # b.y.aani,,actions,"Alumbrar, iluminar, meter alumbrado."
996,"This phrasal verb describes the practice whereby, during the first night of a couple's domestic partnership or marriage, the groom inserts a finger into the bride's vagina to extract the hymen and verify her virginity.",guubikwini,,,gu-l.uu  # bi-kwini,,,,ri-g.uu # bi-kwini,,k.u!7 # bi-kwini,,cultural practices,"Este verbo de frase describe la práctica mediante la cual, durante la primera noche del concubinato o del matrimonio de una pareja, el novio introduce un dedo en la vagina de la novia para extraer el himen y verificar su virginidad."
997,To sow corn from seed.,guubini,EJG;RLC,,gu-l.uu # bi-ni,,,za-g.uu # bi-ni,ri-g.uu # bi-ni,,k.u!7 # bi-ni,ka-g.u!u # bi-ni,cultivation,Sembrar maíz.
998,"To curse at, to swear at.",guudi,,,gu-l.uu # di*,,,za-g.uu # di*,ri-g.uu # di*,,k.u!7 # di*,ka-g.u!u # di*,actions,"Maldecirlo, insultarlo."
999,To marry a couple. Jiménez Girón (1979:166) describes this verb as the action of a civil authority to unite a couple in marriage by way of reading to them the stipulated sermon (lit. to insert word).,guudiidxa,VC,,gu-l.uu # diidxa,,,,ri-g.uu # diidxa,,k.u!7 # diidxa,,cultural practices,"Casarlos. Jiménez Girón (1979:166) define este verbo como ""unir en matrimonio la autoridad civil, leyendo la epístola o amonestando a los contrayentes"" (lit. meter palabra)."
1000,"To incite or produce fear, to scare.",guudxiibi,,,gu-l.uu # dxii*bi*,,,,ri-g.uu # dxii*bi*,,k.u!7 # dxii*bi*,,actions,"Meter o infundir miedo, asustar, espantar."
1001,To sweeten (lit. to introduce sugar).,guudxinya,EJG;JLC;ND;RGL;RLC,,gu-l.uu # dxinya,,,,ri-g.uu # dxinya,,k.u!7 # dxinya,,actions,Endulzar (lit. meter azúcar).
1002,"To praise, to flatter with sweet talk.",guudxinyarwaa,,,,,,,ri-g.uu # dxinya rwaa,,,,actions,"Alabar, adular, hablar de manera dulce o mielosa."
1003,To whistle (lit. to throw a whistling).,guufluuchi,,ka-na-g.uu fluu*chi*,gu-l.uu fluu*chi*,,,,ri-g.uu fluu^chi*,,k.u!7 # fluu*chi*,,actions,"Chiflar, silbar (lit. echar chiflido)."
1004,"To be cursed, to be screwed, said of a person who commits a reprehensible act against someone who will then seek revenge.",guugendazi7,,,gu-l.uu # genda+ zi*7,,,,ri-g.uu # genda+ zi*7,,k.u!7 # genda+ zi*7,,actions,"Echarse la sal, chingarse, joderse, dicho de cuando una persona comete una infracción contra alguien quien en respuesta buscará vengarse."
1005,To cook tortillas in a clay oven.,guugeta,,,gu-l.uu # geta,,,,ri-g.uu # geta,,k.u!7 # geta,,processes,Cocer las tortillas en horno de barro.
1006,To hit with a leather strap.,guugidi,EJG;JLC,,gu-l.uu # gidi,,,,ri-g.uu # gidi,,k.u!7 # gidi,,actions,"Golpear con un cuero, dar de cuerazos."
1007,To scrub.,guugizhi,,,gu-l.uu # gizhi,,,,ri-g.uu # gizhi,,k.u!7 # gizhi,,actions,"Echar zacate ya sea al bañarse, al limpiar o al fregar."
1008,"To give a donation (e.g. to the church), to give a contribution towards the costs associated with special occasions, such as weddings, wakes, and community festivities known as 'velas' in Spanish.",guuguna,,,gu-l.uu # guna,,,,ri.guu # guna,,k.u!7 #  guna,ka-g.u!u # guna,actions,"Dar limosna (ej. en la iglesia), depositar la cooperación que se acostumbra ofrecer durante las ocasiones especiales como en bodas, velorios y las velas."
1009,To cut with an axe.,guujacha,,,,,jacha,,,,,,actions,Hachear.
1010,"To fence in, to encircle, to besiege.",guule7,EJG;JLC;RLC;VP,,gu-l.uu # le7,,,,ri-g.uu # le7,,k.u!7 # le7,ka-g.u!u # le7,actions,"Cercar, sitiar, acorralar."
1011,"To recite, to deliver a sermon.",guulibana,,,gu-l.uu # li-bana*,,,,ri-g.uu li-bana*,,k.u!7 # li-bana*,,actions,"Recitar, dar sermón."
1012,To bless.,guundaaya,JLC;ND;RGL;RLC,,gu-l.uu # ndaaya,,,,ri-g.uu # ndaaya,,k.u!7 # ndaaya,ka-g.u!u # ndaaya,spirituality,Bendecir.
1013,To lie in fetal position.,guunduyu,,,gu-l.uu # ndu*yu*,,,,ri-g.uu # ndu*yu*,,k.u!7 # ndu*yu*,,position,Acostarse en posición fetal.
1014,"To expel, to throw out, chase away, to fire someone from a job.",guuneza,,,gu-l.uu # neza,,,,ri-g.uu # neza,,k.u!7 # neza,ka-g.u!u # neza,actions,"Expulsar, echar fuera, correr, despedir a alguien de su trabajo."
1015,To rap someone on the head.,guuxkwagu,,,gu-l.uu # x.kwa*gu*,,,,ri-g.uu x.kwa*gu*,,k.u!7 # x.kwa*gu*,,actions,Dar coscorrones.
1016,"To act judiciously, decently and/or responsibly.",guuxpyaani,,,gu-l.uu # x.p.y.aani,,,,ri-g.uu # x.p.y.aani,,k.u!7 # x.p.y.aani,,actions,"Actuar con juicio, decencia y/o responsabilidad."
1017,To send representatives to ask a woman's hand in marriage.,guuxpinni,,,gu-l.uu # x.pinni*,,,,ri-g.uu # x.pinni*,,k.u!7 # x.pinni*,,cultural practices,Mandar a una comitiva para solicitar la mano de una mujer en matrimonio.
1018,"To oil, to lubricate.",guuza,,,gu-l.uu # za,,,,ri-g.uu # za,,k.u!7 # za,,actions,"Engrasar, lubricar."
1019,To soap up.,guuzhabu,,,gu-l.uu # zha-bu!,,,,ri-g.uu # zha-bu!,,k.u!7 # zha-bu!,,actions,Enjabonar.
1020,"To worry, to cause concern (lit. to introduce a worry).",guuzhizaa,,,gu-l.uu # zhi+ zaa,,,,ri-g.uu zhi+ zhi+ zaa,,k.u!7 # zhi+ zaa,,actions,"Preocupar, inquietar (lit. meterle una preocupación)."
1021,"To provide heat, to heat up.",guuzhidxaa,,,gu-l.uu # zhi-dxaa*,,,,ri-g.uu # zhi-dxaa*,,k.u!7 # zhi-dxaa*,,actions,"Dar calor, calentar."
1022,To coat the walls of a construction with plaster or adobe.,guuzhuubi,,,gu-l.uu # zhuu*bi*,,,,ri-g.uu zhuu*bi*,,k.u!7 # zhuu*bi*,,construction,"Repellar, ya sea con adobe o con yeso."
1023,"To salt. By extension, to jinx.",guuzidi,RLC;RLL,,gu-l.uu # zidi,,,,ri-g.uu # zidi,,k.u!7 # zidi,,actions,"Echar sal. Por extensión, dirigir la mala suerte hacia alguien, de manera comparable a la expresión 'echar la sal' en castellano."
1024,"To introduce something slowly. By extension, to save up, to put or store away to safeguard.",guuchaawiduga,,,gu-l.uu (du)(-ga) chaawi,,,,ri-g.uu chaawi (du)(-ga),,k.u!7 chaawi (du)(-ga),,actions,"Meterlo despacio. Por extensión, ahorrar, guardar, almacenar."
1025,To add.,guudejma,,,,,de,,,,,,actions,Agregar.
1026,"To turn around, to twist, to twist around.",guubyeke,,,gu-l.uu=b.y.eke,,,,ri-g.uu=b.y.eke,,k.u!7=b.y.eke,,actions,"Darle vueltas, torcer, amarrar."
1027,To suck the belly in.,guubada,,,gu-l.uu=ba*da ,,,,ri-g.uu=ba*da ,,k.u!7=ba*da ,,actions,Meter la panza.
1028,"To roar. By extension, to bawl or wail in pain.",guubeedxe,,,gu-l.uu=beedxe,,,za-g.uu=beedxe,ri-g.uu=beedxe,,k.u!7=beedxe,,actions,"Rugir, bramar. Por extensión, quejarse de dolor."
1029,To throw something up in the air.,guubi,EJG;JLC;ND;RGL;RLC,,gu-l.uu=bi,,,za-g.uu=bi,,,k.u!7=bi,,actions,"Aventar, lanzar o tirar hacia arriba."
1030,To check out someone or something (lit. to put beans in or into).,guubizaa,,,gu-l.uu=bi-zaa,,,,ri-g.uu=bi-zaa,,k.u!7=bi-zaa,ka-g.u!u=bi-zaa,actions,Echarle el ojo (lit. meterle frijol).
1031,"To measure, to weigh, to gauge. By extension, to calculate the necessary amount.",guubya7,,,gu-l.uu=bya7,,,,ri-g.uu=bya7,,k.u!7=bya7 ,,measure and quantity,"Tomar la medida, medir, pesar, sopesar. Por extensión, calcular la cantidad necesaria o indispensable."
